Date/Time,Latitude (degree),Longitude (degree),Optical depth liquid (1),Error optical depth liquid (1),Optical depth ice (1), Error optical depth ice (1),Effective droplet radius liquid (um),Error effective droplet radius liquid (um),Effective droplet radius ice (um),Error effective droplet radius (um),Liquid water path (g m^(-2)),Error liquid water path (g m^(-2)),Ice water path (g m^(-2)),Error ice water path (g m^(-2)),Total water path (g m^(-2)),Error total water path (g m^(-2)),Averaging Kernel matrix [11],Averaging Kernel matrix [12],Averaging Kernel matrix [13],Averaging Kernel matrix [14],Averaging Kernel matrix [21],Averaging Kernel matrix [22],Averaging Kernel matrix [23],Averaging Kernel matrix [24],Averaging Kernel matrix[31],Averaging Kernel matrix [32],Averaging Kernel matrix [33],Averaging Kernel matrix [34],Averaging Kernel matrix [41],Averaging Kernel matrix [42],Averaging Kernel matrix [43],Averaging Kernel matrix [44]
2017-06-11T11:50:00,81.837093,11.129599,0.09503528,0.01619316,1.98254135,0.01148875,4.74149964,0.44702749,25.79502092,0.36504969,0.30040648,0.07950882,31.812882,2.40063026,32.11328848,2.48013908,0.9907438,-0.01490412,-0.002458061,-0.00467808,-0.007757743,1.000233,0.008667341,0.004204059,0.4926203,-0.01675147,0.1213937,-0.1038255,0.04361865,-0.01734564,-0.05593131,0.8743115
2017-06-11T12:15:00,81.83571,11.138815,0.32481293,0.01073307,0.91825922,0.01107915,6.81251464,0.24228278,22.43257372,0.23800471,1.47519521,0.1012105,12.95170111,0.90351664,14.42689632,1.00472714,0.9861945,-0.04677398,0.00432935,0.001660071,0.002536423,1.044288,0.008543986,-0.007268518,1.367979,-0.9012818,0.4207069,0.3019029,-0.3164784,-0.2968754,0.4758425,0.6735687
2017-06-11T12:16:00,81.835644,11.139269,0.63699488,0.05604705,0.85608201,0.05713968,11.11357363,0.61960929,21.55664932,0.5226607,4.71952632,0.67838062,11.63648186,2.16971881,16.35600818,2.84809943,0.5944412,0.1569947,0.01290079,0.08223014,0.3957209,0.7944688,-0.01839667,-0.08247028,0.04914038,1.556834,1.246316,0.7838281,0.3104102,2.033518,-0.02922755,1.376003
2017-06-11T12:18:00,81.835531,11.140016,0.15627443,0.0549978,1.87842382,0.05397171,12.33902256,0.72777883,21.32011293,0.31001178,1.28551577,0.52823491,25.29684107,2.57456548,26.58235684,3.10280039,0.7962133,0.00781954,-0.009414997,-0.003953287,0.1970314,0.973216,0.00988686,0.003619577,0.9740681,0.02634127,0.5802753,-0.05901776,-0.09085941,0.001935487,0.027892,0.9763905
2017-06-11T12:20:00,81.835423,11.140709,0.14408209,0.02351936,0.34556284,0.03364453,7.93265333,2.0080946,26.05836891,0.29672402,0.76196882,0.31726757,5.59440399,0.90269395,6.35637281,1.21996152,0.999984,2.278362e-05,-0.0004763042,-1.011158e-06,2.278362e-05,0.9999672,0.0006962948,1.15968e-06,-0.001323067,0.001934152,0.9579012,-4.596832e-05,-4.494035e-05,5.154135e-05,-0.0007354931,0.9999449
2017-06-11T12:25:00,81.83514,11.142637,0.23527794,0.01376819,0.64365864,0.01330901,7.90186114,0.35082064,22.42072518,0.49822548,1.23942238,0.12755644,9.0736447,1.28512389,10.31306708,1.41268033,0.8812353,0.01000954,-0.01129215,-0.01669134,0.1305337,0.9844318,0.01718003,0.01502791,-0.3375734,0.4929314,0.3603402,-0.2183335,-1.12996,0.1581757,0.005803437,0.4281772
2017-06-11T12:26:00,81.835111,11.143094,0.17339124,0.006117,0.59588732,0.00574324,6.59751594,0.24750293,24.77195403,0.21516479,0.76263431,0.05551455,9.22372831,0.51001124,9.98636262,0.56552579,0.9964284,-0.03102813,-0.01173231,-0.01386385,-0.02487518,1.018085,0.01803397,0.01118494,-0.7114657,0.3753882,0.2263097,-0.1106519,-0.3006636,-0.3788689,-0.2104733,0.1022276
2017-06-11T12:29:00,81.834924,11.144339,0.48469961,0.0308261,1.52241522,0.03133557,9.66739808,0.36407826,20.02156284,0.21710188,3.12385606,0.31631787,19.27195169,1.56778023,22.395807750000003,1.8840981,0.8152839,-0.02567086,-0.07620468,-0.04155953,0.1906172,1.016447,0.08647937,0.03565096,-0.3084675,-0.2630295,-0.232975,-0.1227411,0.1727873,0.06755252,0.1819391,0.450537
2017-06-11T12:33:00,81.834715,11.145928,1.36801493,0.0847966,0.42523373,0.08744473,12.62322529,0.29060185,18.26828139,0.25678932,11.51250707,0.97863614,4.9700247,1.40354939,16.48253177,2.38218553,0.6500158,-0.2988764,-0.2937704,-0.05623161,0.3401819,1.293736,0.3119744,0.05898474,0.003087657,-0.04656728,0.2019139,-0.2438395,0.6359294,0.7100226,0.9698462,0.5174555
2017-06-11T12:35:00,81.834603,11.146715,0.49465088,0.04206811,1.58686886,0.04581534,10.18472498,0.64793514,23.94017561,0.38708231,3.35858877,0.49930253,23.72423689,2.55840957,27.08282566,3.0577121,0.7443651,-0.006554724,-0.04730309,0.0006389289,0.2724645,0.9989653,0.05473471,-0.008807383,-0.2802428,-0.1626716,-0.007514895,0.5398868,-0.1296863,0.1529139,0.2773608,0.4810212
