fname,date,tt,dtt,fi,dfi,rl,drl,ri,dri,lwp,dlwp,iwp,diwp,twp,dtwp,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012012006_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,1.0856281569577997,0.3201286365142243,1.1549455381192033e-05,0.3172099338621774,21.94548081411916,2.387646422825112,28.264189728867645,2.3554339780007014,15.883087926523292,6.411648690767697,0.0001872297537278243,5.1423323297726204,15.88327515627702,11.553981020540316,0.37591819914763125,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000P.nc.nc,RESULTS/,1.1000922918145015,0.14557272948785094,0.00020955848215316463,0.14376155695736934,25.3973485980587,1.2061809027204216,29.170891508006687,0.5436988564094298,18.626284950166806,3.3493811138602947,0.003508241067329423,2.4067276728984024,18.629793191234135,5.756108786758697,0.666748042678331,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,0.3476546886018836,0.6076958997294162,0.7343737492070593,0.590857442171383,26.084557092879734,6.73749530108775,18.790722686261343,5.370072672997164,6.045612382295438,12.12920014830479,8.05233228563277,6.478702581577335,14.097944667928209,18.607902729882124,0.1875256007746352,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050P.nc.nc,RESULTS/,1.0899382271851363,0.4814280074213113,0.00023075800443705038,0.47166221025468075,20.116146422250367,4.842836829697623,29.42681125638797,11.881473871331005,14.616904646176122,9.975246185177896,0.0038949763065510294,7.9612108792683545,14.620799622482673,17.93645706444625,0.32365632365221925,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,0.4769865722421047,0.6564201253051428,0.6023905981521802,0.6320872099448716,24.557880609419897,8.35393998108277,17.710803123735044,5.82519608799274,7.809186195612028,13.403336175438058,6.235836808909766,6.5432604041452835,14.045023004521795,19.946596579583343,0.17924089115996156,254.8000030517578,-1.0,0,3200.0,3200.0
results_simulation_2012021705_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,0.9026542039188306,0.278272024145694,4.684847132090842e-05,0.27647042222898455,16.701794994184823,1.989567322361916,29.097889089870122,3.7796212896323613,10.05063030966094,4.295689071605164,0.0007824103292986827,4.617297171541806,10.051412719990239,8.912986243146971,0.3817637563754829,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000P.nc.nc,RESULTS/,0.9160694088178903,0.5386063725147362,0.00020996909955972926,0.5300385721925975,16.87108907719826,4.105286281172586,23.539135631180358,9.807194711753999,10.303392398041982,8.56506884324314,0.002839183353483302,7.167134093609278,10.306231581395465,15.732202936852417,0.5158276344440466,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,0.6692781433364202,0.679330624859635,0.26898135471811063,0.7085365632293175,15.179952210771345,7.610149913978115,38.68142225968057,12.493913065463666,6.773073487707088,10.270342283747858,5.9971935873847455,15.797501608945781,12.770267075091834,26.067843892693638,0.22951473783845375,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050P.nc.nc,RESULTS/,0.9092049101045009,0.2631522302748087,0.00022525392803517856,0.26308116055351144,17.19504484462387,1.9558143001625077,29.116635346125985,3.051003810474983,10.4225461347994,4.202100243665648,0.003764273008315936,4.396413064781758,10.426310407807717,8.598513308447405,0.4059570932490849,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,0.8863267979727103,0.6988798652782231,0.038961377140824136,0.7153406875061897,17.435690390016696,5.385951299959332,35.510402466113824,10.281600083192815,10.3024797558847,11.306110613691725,0.7956382815103965,14.60812028620937,11.098118037395096,25.914230899901096,0.225652724210109,255.5,-1.0,1,1600.0,1600.0
