fname,date,tl,dtl,dtl_res,ti,dti,dti_res,rl,drl,drl_res,ri,dri,dri_res,lwp,dlwp,dlwp_res,iwp,diwp,diwp_res,twp,dtwp,dtwp_res,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012012006_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,1.0851517165381237,0.24585086085161728,0.24585086085161728,0.0,0.2421950759956549,0.2421950759956549,19.184059349190054,1.1320409864986227,1.1320409864986227,27.220039682065046,2.2180136698004906,2.2180136698004906,13.878409955295217,3.9632358168782553,3.9632358168782553,0.0,3.7885328868425487,3.7885328868425487,13.878409955295217,7.7517687037208045,7.7517687037208045,0.27813226968490207,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000P.nc.nc,RESULTS/,1.0946947078412574,0.1680233358776441,0.1680233358776441,0.00047315583986723593,0.16444101486342816,0.16444101486342816,19.061971971817766,1.0916959583899555,1.0916959583899555,27.157148518657095,2.855643419750761,2.855643419750761,13.91135989237819,2.9319532715547654,2.9319532715547654,0.007385092710552845,2.5666219027158177,2.5666219027158177,13.918744985088743,5.498575174270583,5.498575174270583,0.4723661527554997,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,0.5359382225841101,0.23235630505495078,0.23235630505495078,0.5851687754493338,0.22237979944603628,0.22237979944603628,14.61439049693957,2.6589813743691533,2.6589813743691533,34.51376880254405,9.541283560258837,9.541283560258837,5.221606978053268,3.2138636854418148,3.2138636854418148,11.610216986301367,4.412207821414152,4.412207821414152,16.831823964354633,7.626071506855967,7.626071506855967,0.22369726804398654,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050P.nc.nc,RESULTS/,1.095993219220727,0.21756315001525003,0.21756315001525003,0.0,0.2084088670024772,0.2084088670024772,19.50894183827709,0.9425830794561622,0.9425830794561622,20.40981758288782,2.6370914467017483,2.6370914467017483,14.254445312615486,3.5183276689573404,3.5183276689573404,0.0,2.464571880773116,2.464571880773116,14.254445312615486,5.9828995497304565,5.9828995497304565,0.3721871590692233,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,0.5593380033234632,0.08556948685208772,0.08556948685208772,0.5437089011819695,0.08783494535186115,0.08783494535186115,15.753508835006222,1.7511616073913965,1.7511616073913965,28.609069464144227,3.056015841742214,3.056015841742214,5.874357451407278,1.5516739360708818,1.5516739360708818,8.928101916589622,1.4423195559263413,1.4423195559263413,14.8024593679969,2.993993491997223,2.993993491997223,0.2301846322803179,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012021705_cld1_0002_ch2_R000HBR.nc.nc,RESULTS/,1.742329275998983,0.6489636502483476,0.6489636502483476,0.0,0.6635655842314765,0.6635655842314765,23.320541048226723,5.115725856174397,5.115725856174397,21.26729347018152,5.590122353202881,5.590122353202881,27.088040933640954,16.031641581080834,16.031641581080834,0.0,8.165382519319888,8.165382519319888,27.088040933640954,24.19702410040072,24.19702410040072,0.5090049678446004,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000P.nc.nc,RESULTS/,0.914074056480827,0.10871602589021633,0.10871602589021633,0.0,0.1051180392480143,0.1051180392480143,17.010414456946705,0.8385102780358874,0.8385102780358874,22.670204687427507,1.6464625143158464,1.6464625143158464,10.365852363387583,1.7438434331665713,1.7438434331665713,0.0,1.373196345028045,1.373196345028045,10.365852363387583,3.1170397781946164,3.1170397781946164,0.6005568660887783,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000SC.nc.nc,RESULTS/,0.46777155760936173,0.016795512506330053,0.016795512506330053,0.46985176414162927,0.01612340790740683,0.01612340790740683,12.811107848476615,1.0622784941825878,1.0622784941825878,34.60645232359703,1.8403698841119356,1.8403698841119356,3.9951145819889495,0.47471519195183226,0.47471519195183226,9.341554648600908,0.32056653400102925,0.32056653400102925,13.336669230589859,0.7952817259528615,0.7952817259528615,0.3721485712364757,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050P.nc.nc,RESULTS/,0.466050265213478,0.017176961370909044,0.017176961370909044,0.45409251440046966,0.016199889356166997,0.016199889356166997,11.805570952697838,0.7244188802316709,0.7244188802316709,34.49601802584606,1.133809409573706,1.133809409573706,3.667992982334239,0.3602662983157584,0.3602662983157584,9.005961512969728,0.3212917760277174,0.3212917760277174,12.673954495303967,0.6815580743434758,0.6815580743434758,0.601869135127922,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050SC.nc.nc,RESULTS/,0.46157312734939737,0.017554672251995983,0.017554672251995983,0.46921451370098005,0.016909381991683462,0.016909381991683462,12.695137985954014,0.9277020388717095,0.9277020388717095,32.702126317705115,1.180404648433578,1.180404648433578,3.9064896948726164,0.4340408785784762,0.4340408785784762,8.889044083998236,0.3203417108853506,0.3203417108853506,12.795533778870853,0.7543825894638267,0.7543825894638267,0.3829620575709531,255.5,-1.0,1,1600.0,1600.0
