fname,date,lat,lon,tl,dtl,dtl_res,ti,dti,dti_res,rl,drl,drl_res,ri,dri,dri_res,lwp,dlwp,dlwp_res,iwp,diwp,diwp_res,twp,dtwp,dtwp_res,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012012006_cld1_0002_ch2_R000HBR.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,1.0844545069642688,0.12566784141695986,0.4793132186023868,0.0,0.12650055650599687,0.4824893004464347,19.025621757585103,0.8965572977543413,3.4195841927630677,32.74109930763354,1.6800688562725359,6.407997478859706,13.754947508540413,2.2421229467951114,8.551743660216928,0.0,2.3991923640937842,9.1508265051242,13.754947508540413,4.641315310888896,17.70257016534113,0.4491530264218724,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000P.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,1.1493363989160597,0.07605627945424323,0.2707308328822818,0.0,0.07688853654807125,0.27369334508773097,19.38913502223101,0.6493392603504227,2.311395719581534,34.20718890908636,0.8721942061326222,3.104672823280097,14.856425749698825,1.480649812528552,5.270538604166303,0.0,1.5148409478318836,5.392245774228843,14.856425749698825,2.9954907603604357,10.662784378395145,0.5671959070190705,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R000SC.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.45911059070820365,0.11090770072731848,0.42063989436941085,0.6516434752423242,0.11104646376010109,0.4211661812464201,14.506598153175537,2.268698680959871,8.604498761193055,29.407902959632306,5.4854466896947685,20.80466641171554,4.440088564847303,1.7669846920655143,6.701646949207064,10.992588033493284,1.873255207861896,7.104699381509106,15.432676598340588,3.64023989992741,13.80634633071617,0.4268584641006167,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050P.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,1.0866490424701991,0.09676422289947414,0.35727899929950824,0.0019412595311326638,0.09820431196437963,0.3625961874563966,19.382473340036757,0.7265315689753196,2.6825459260151243,34.58385252406502,1.281333150288052,4.731019502732859,14.041297397103403,1.7766765362465562,6.559957760509598,0.03857657506192041,1.9515092978034039,7.205486368316351,14.079873972165323,3.72818583404996,13.76544412882595,0.49499291927311845,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050SC.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.5866169530453823,0.1692575115628199,0.6452513100946917,0.5272716874034252,0.1655591335662461,0.6311521825258162,15.19317687729349,2.52249931658184,9.61638850594407,34.093529363423144,10.36492306263637,39.513638853862965,5.941716751224976,2.700866782757846,10.296369206154365,10.360377566906699,3.2530910286965153,12.401584005000856,16.302094318131676,5.953957811454361,22.697953211155223,0.4283218260140804,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012021705_cld1_0002_ch2_R000HBR.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.8930377057870886,0.07000186533404791,0.2718987012139414,0.005618088126872875,0.07009018741045706,0.2722417586131917,16.99303735037119,0.6577395876324948,2.554768201687966,29.484396679069633,0.9771732100693276,3.795500668604031,10.116948726486529,1.1846203763745327,4.601259412599433,0.09499873634111235,1.1851859866403849,4.603456335437769,10.211947462827641,2.3698063630149173,9.204715748037202,0.539557481715089,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000P.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.44710483716379573,0.011401637846702397,0.04199365018250943,0.4766935432806405,0.01044518564627449,0.038470917776772,10.834218604846825,0.3442424109643841,1.267887612147143,29.746683080812378,0.2299473794768171,0.8469247965920111,3.229354363411337,0.18496018932238148,0.6812313803092099,8.125222558325529,0.17803807607561042,0.6557363763354882,11.354576921736866,0.3629982653979919,1.336967756644698,0.7493501466143768,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000SC.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.6776186088429577,0.18058205914972827,0.7163022722559766,0.26351725158069533,0.19678169415929175,0.7805602357641153,15.50331670023146,2.7408317638918183,10.871866394652415,50.94132395458818,14.002952263248808,55.5445351087757,7.003557263241755,3.104572973532754,12.314693307833796,7.749711064603341,5.7871132952587,22.95533910021214,14.753268327845095,8.891686268791453,35.270032408045935,0.4553338950665234,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050P.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.906254257126982,0.0648830977513212,0.2530052888932365,0.0,0.0652219365541504,0.254326557639168,17.29341997559402,0.555086104927549,2.1645039340766696,30.366154533294626,0.9688529159289561,3.777947113887123,10.448156982111245,1.0833998695958287,4.224611747801542,0.0,1.13820584446267,4.4383222823602635,10.448156982111245,2.221605714058499,8.662934030161805,0.5587230741669809,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050SC.nc.nc,RESULTS_19052020/,79.9830551147461,-85.94972229003906,0.8639375951785463,0.30195313762751946,1.2054389126782,0.05877723276019938,0.31259547942781646,1.2479246209867683,17.48636064017852,2.6096304901016887,10.418007791528774,40.702003117211966,12.863725427723558,51.35378063769049,10.071416239933743,5.023079567274219,20.052832103173593,1.3762215806973401,7.319173792188375,29.21915952614442,11.447637820631083,12.342253359462592,49.27199162931801,0.4575970097134129,255.5,-1.0,1,1600.0,1600.0
