fname,date,tl,dtl,dtl_res,ti,dti,dti_res,rl,drl,drl_res,ri,dri,dri_res,lwp,dlwp,dlwp_res,iwp,diwp,diwp_res,twp,dtwp,dtwp_res,rms,ctemp,pwv,conv,cbase,ctop
results_simulation_2012012006_cld1_0002_ch2_R000P.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.8819226511630149,0.03854050547952535,0.31104832762956713,0.24894143478073064,0.026207809769994296,0.21151500994508882,50.12653985694351,0.5193835509879683,4.191781683271871,5.139545019716105,1.0119667134573707,8.1672658394407,29.471820616176103,1.5933055348559646,12.859069071711207,1.0438203653205638,0.10989154351435344,0.8869001691981028,30.515640981496666,1.703197078370318,13.74596924090931,1.0544192989765806,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012012006_cld1_0002_ch2_R050P.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.9285662701908183,0.0222829018889856,0.1773595772748845,0.19449703929614337,0.018566701386181283,0.1477806762174831,42.88279483188968,0.6548383972980361,5.212151536939236,4.226303788740528,0.45858856198085185,3.650111367955392,26.5463445682706,1.042409305414178,8.297001650716375,0.7441779061439144,0.07103972831780143,0.5654369546183681,27.290522474414516,1.1134490337319796,8.862438605334743,1.0139342089174792,254.8000030517578,-1.0,1,3200.0,3200.0
results_simulation_2012021705_cld1_0002_ch2_R000HBR.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.7368855121829305,0.009096162105431724,0.07607842441094839,0.23642852105469,0.009473899560167134,0.0792377426007717,42.77775514955749,0.5691209445361222,4.760010239233077,2.454005942533749,0.2956619475922628,2.4728555703355233,21.014872008945108,0.5389935827035834,4.508031196499285,0.7611373448024215,0.030499894235529984,0.2550948269440014,21.77600935374753,0.5694934769391135,4.763126023443286,1.067054382329744,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R000SC.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.0006987620086749979,0.01794982986876223,0.1292478366728628,0.8801386894941886,0.017736912421784396,0.12771472356744643,15.488224377058463,0.5747591808292847,4.138556257813399,18.86958333209626,0.399760926614223,2.8784804830459536,0.007215055184348292,0.18560840827807729,1.3364742403482854,9.689357829780196,0.1952649183701714,1.40600598791013,9.696572884964544,0.3808733266482487,2.7424802282584153,0.9557289122684499,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021705_cld1_0002_ch2_R050SC.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.0,0.06418801196370894,0.46379494317539327,0.8940289553747413,0.06321962570806956,0.45679780095731,21.802481315269056,0.9600585349254801,6.9369696930723475,18.575396575561385,0.4571716870854232,3.303325810325201,0.0,0.9329719543353537,6.741253721798522,9.691944392395813,0.6853494013438963,4.952039748968966,9.691944392395813,1.61832135567925,11.693293470767488,0.9590176188069618,255.5,-1.0,1,1600.0,1600.0
results_simulation_2012021817_cld1_0001_ch2_singleLayer.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.33759154195943464,0.009763706864058686,0.06555341119348815,1.0648172660839035,0.008443670005468851,0.05669069950145268,4.377902399858059,0.21585993583929647,1.4492810293560157,12.030454798795173,0.20742570084010142,1.3926536763739221,0.9852952144773276,0.07707802953261722,0.5175009690771385,7.821900702620912,0.06202598334567019,0.41644171087383086,8.80719591709824,0.13910401287828741,0.9339426799509694,1.2153526387023612,255.10000610351562,-1.0,0,600.0,600.0
results_simulation_2012021817_cld1_0004_ch2_singleLayer.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.9686091759012344,0.09555911866430669,0.47438692709430025,0.3511579127070633,0.101700348740416,0.5048740151410088,13.038180780973853,0.8934985502496019,4.435620980401976,27.599382415133967,1.5069190135260975,7.480842123689823,8.419267694340263,1.4075786392279852,6.987683798682355,5.563394711641794,1.6112400620347986,7.99872615532419,13.982662405982058,3.018818701262784,14.986409954006545,0.6640512730463987,255.10000610351562,-1.0,1,600.0,600.0
results_simulation_2012021817_cld1_0007_ch2_R000P.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,1.0430918875157011,0.004903895068750692,0.03397891982389618,0.3335180147279048,0.004784195778357163,0.03314952756850782,49.794097236411844,0.826251986204534,5.725071519674913,25.715306965136268,1.1167120395558112,7.737659213029043,34.62654591564612,0.7373611811628111,5.109150196879611,4.925930485257608,0.07066174369114481,0.48961278531389707,39.55247640090373,0.8080229248539559,5.598762982193508,1.3119619941038834,255.10000610351562,-1.0,1,600.0,600.0
results_simulation_2012021817_cld1_0007_ch2_R000SC.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,0.0238673932955023,0.1310366613314576,0.6894081307986175,1.358868520709151,0.12986572248868178,0.6832476048002055,30.15009936341152,0.8383668672329131,4.41080327436412,28.979101945189825,0.7454284733207361,3.921837180635984,0.4797361862700108,2.647185327426211,13.927332014680307,22.604147280765517,2.160258927572305,11.365522092565074,23.083883467035527,4.807444254998516,25.292854107245383,0.6956260690939425,255.10000610351562,-1.0,1,600.0,600.0
results_simulation_2012021817_cld1_0007_ch2_R050P.nc.nc,/mnt/beegfs/user/phi.richter/RESULTS,1.3312739923466448,0.10566254423412602,0.6862851743144033,0.05753447688862627,0.10068504736206652,0.6539560047562517,48.163933753926216,0.9960335022461638,6.469303107043893,27.012233095224072,1.318758300040515,8.565421894597606,42.746261583805776,4.276744851873336,27.777739097997,0.8933867646298259,1.5634225961634944,10.154532589691389,43.6396483484356,5.840167448036831,37.932271687688385,1.1821180606640278,255.10000610351562,-1.0,1,600.0,600.0
